,ca1_d_0,ca1_d_1,ca1_d_2,ca1_v_0,ca1_v_1,ca1_v_2,ca2_0,ca2_1,ca2_2,ca3_d_0,ca3_d_1,ca3_d_2,ca3_v_0,ca3_v_1,ca3_v_2,ca4_0,ca4_1,ca4_2,dg_d_0,dg_d_1,dg_d_2,dg_v_0,dg_v_1,dg_v_2
ENSMUSG00000078513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078515,5.62667,4.72589,7.76057,5.23258,5.91878,6.1956,5.38464,7.34162,6.31619,6.95363,7.0937,7.0329,7.06916,7.47525,8.89159,7.80416,7.97305,7.70626,13.1677,8.50012,7.78293,5.66696,7.4864,6.21262
ENSMUSG00000078517,10.1225,9.06123,9.03074,11.2957,5.62588,8.24803,7.17279,8.42757,6.99146,10.4095,6.72185,9.38916,9.91518,9.66641,10.0631,8.7913,9.59541,7.22613,8.50049,10.5845,5.18362,11.1429,10.2209,5.33975
ENSMUSG00000078518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078519,0.428427,0.0,0.243871,0.0,0.0,3.23778,0.256425,0.402147,0.133022,0.888075,0.0,0.0,0.112973,0.108458,0.653696,0.0,0.0,0.822585,0.0,0.0,0.0,0.0,0.191446,2.39587
ENSMUSG00000078520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078521,0.0336021,0.0,0.0,0.0,0.0,0.0,0.0402236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329468,0.0,0.0,0.0,0.0,0.0,0.0,0.322134
ENSMUSG00000078525,0.0,0.0,0.0,0.0,0.0,0.0,0.159767,0.167039,0.0,0.0,0.0,0.363368,0.0,0.13515,0.0,0.141877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078528,0.218585,0.0,0.0497695,0.297079,2.35935,0.0,0.0523317,0.0547139,0.0542954,0.0,0.0,0.0595141,0.0,0.0,0.228706,0.139472,0.0,0.33575,0.0,0.0,2.5037,0.136155,1.71911,0.349452
ENSMUSG00000078531,0.0,0.0951884,0.0,0.0,0.0,0.0286719,0.0,0.0,0.0,0.0,0.0,0.0,0.0200085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078532,11.9362,13.2539,10.6646,10.3799,17.7907,7.76457,49.4362,42.2738,37.2168,8.5606,6.16216,4.3649,25.4455,17.0676,16.7303,21.3971,25.0017,28.7518,1.09544,3.01509,10.576,8.02489,9.72234,9.68326
ENSMUSG00000078546,0.958065,1.15052,1.25851,2.16984,2.16943,0.965392,1.88202,0.584159,0.366114,0.984487,1.11552,0.802577,1.63241,0.497512,0.835325,0.287252,0.240867,1.698,2.7841,0.187744,1.96966,0.803257,0.922102,1.17752
ENSMUSG00000078550,13.0569,9.07713,6.03875,16.6339,8.0075,5.18051,7.03338,5.51537,8.41209,7.44308,8.85239,2.66611,6.45565,4.95807,5.47859,4.1639,4.17879,8.25196,6.72624,8.41953,1.86947,9.78392,4.66769,12.1261
ENSMUSG00000078552,3.39429,1.55073,20.1043,1.50982,1.74435,1.3039,1.63888,2.00239,0.766402,0.807017,1.0605,0.75508,0.75003,0.400185,1.55196,1.35648,0.0,0.496304,0.0,13.4066,1.01824,1.26396,3.65416,2.97845
ENSMUSG00000078554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28278
ENSMUSG00000078561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.654902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134916,0.742544,0.956188
ENSMUSG00000078564,0.0212198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078566,37.1704,43.9229,35.8759,30.8333,39.3795,42.5847,98.4012,92.0978,98.4088,76.715,73.2862,84.7123,76.3876,66.9275,66.7384,80.5553,68.1012,58.6049,28.1535,38.7388,119.22,33.8338,33.1806,23.1799
ENSMUSG00000078570,12.3812,10.687,13.4509,9.35929,6.34443,17.3554,10.1761,15.0042,13.4162,10.2693,10.6494,11.187,14.133,11.9639,17.9627,24.171,27.0743,23.5791,34.2215,36.524,35.9975,6.1285,12.6626,9.88872
ENSMUSG00000078572,2.52662,10.0601,6.8784,9.14329,5.92854,5.81139,2.95875,6.94306,4.70692,1.51808,2.35562,7.70131,5.21415,3.94897,4.45375,5.89718,13.2245,4.56992,1.32045,3.98788,29.5694,2.73676,2.45444,3.24715
ENSMUSG00000078574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88501,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078578,134.794,133.793,133.358,130.575,143.154,115.633,159.284,181.114,181.464,144.821,167.281,160.508,132.063,127.305,130.325,90.9922,99.2128,87.5264,122.384,207.285,164.162,121.689,120.385,116.645
ENSMUSG00000078580,3.51867,2.02434,1.45365,3.59049,1.85887,0.886397,1.45738,5.71035,0.953954,2.32054,3.34435,5.55088,2.70786,1.07022,1.53462,4.15144,1.51316,3.0225,4.0653,1.66699,0.71361,2.77225,2.02635,0.994921
ENSMUSG00000078582,0.0576424,0.132572,0.0,0.0,0.0707502,0.0,0.0517508,1.02805,0.340048,0.079657,0.0,0.0,0.0151999,0.496142,0.125645,0.0,0.832074,0.848501,0.0,0.0,1.81567,0.0897525,0.025758,0.437476
ENSMUSG00000078584,3.25732,5.66852,4.48162,2.03533,4.08655,4.06084,4.00927,4.76886,3.96371,3.69393,1.93518,3.69232,4.16354,4.2564,4.19782,2.55385,2.50637,4.69669,1.83768,0.686812,12.6734,9.24819,7.62746,3.70799
ENSMUSG00000078586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078587,7.52392,8.14649,9.96132,8.44408,8.98123,5.48302,7.35803,5.61209,6.31996,3.8062,4.08853,2.44622,1.66515,4.52368,3.38251,2.60651,2.26878,1.87024,0.173033,0.32088,2.43664,3.68714,4.20266,2.03938
